date,close
2007-01-04,4.1
2007-01-04,2.4
2007-01-04,-1.4
2007-01-04,0.9
2007-01-04,-4.7
2007-01-04,-0.6
2007-01-04,-0.9
2007-01-04,-1.2
2007-01-04,-2.1
2007-01-04,10.9
2007-01-04,0.7
2007-01-04,-2
2007-01-04,7.1
2007-01-04,-7
2007-01-04,-11.2
2007-01-04,-1.2
2007-01-04,-1.4
2007-01-04,2
2007-01-04,-30.2
2007-01-04,-1.6
2007-01-04,4.6
2007-01-04,1
2007-01-04,5.5
2007-01-04,6.2
2007-01-04,-1.6
2007-01-04,1.6
2007-01-04,-5
2007-01-04,-2.4
2007-01-04,-5.7
2007-01-04,3.5
2007-01-04,-16.4
2007-01-04,-16.6
2007-01-04,5.1
2007-01-04,2.9
2007-01-04,0.8
2007-01-04,-3
2007-01-04,0.5
2007-01-04,3.8
2007-01-04,-1.9
2007-01-04,1.9
2007-01-04,-2.7
2007-01-04,-6.1
2007-01-04,3.1
2007-01-04,-1.2
2007-01-05,1.2
2007-01-05,-16.6
2007-01-05,-14.7
2007-01-05,-18.7
2007-01-05,-8.4
2007-01-05,-2.2
2007-01-05,5.9
2007-01-05,-0.2
2007-01-05,-2.3
2007-01-05,3.2
2007-01-05,3.4
2007-01-05,-7.1
2007-01-05,1.4
2007-01-05,2.5
2007-01-05,0.6
2007-01-05,-2.2
2007-01-05,-9.9
2007-01-05,-1.1
2007-01-05,-0.6
2007-01-05,-0.9
2007-01-05,-1
2007-01-05,-2
2007-01-05,4.2
2007-01-05,-3.2
2007-01-05,-2
2007-01-05,-11.3
2007-01-05,3.5
2007-01-05,-1.3
2007-01-05,1.6
2007-01-05,-1.3
2007-01-05,-1.1
2007-01-05,-11.8
2007-01-05,-0.1
2007-01-05,2.3
2007-01-05,-0.7
2007-01-05,-3.7
2007-01-05,-1.1
2007-01-05,-5
2007-01-05,8.8
2007-01-05,1
2007-01-05,4.1
2007-01-05,0.2
2007-01-05,-11.3
2007-01-05,-9.5
2007-01-05,1.7
2007-01-05,2.1
2007-01-05,1.6
2007-01-05,8.3
2007-01-05,-2.1
2007-01-05,-3.1
2007-01-05,-6.8
2007-01-05,4.1
2007-01-05,1.9
2007-01-05,1.2
2007-01-05,-4.1
2007-01-05,5.3
2007-01-05,-4
2007-01-05,2.5
2007-01-05,3.3
2007-01-05,-14
2007-01-05,0.4
2007-01-05,-1.4
2007-01-05,0.8
2007-01-05,0.9
2007-01-05,-4.3
2007-01-05,-9.2
2007-01-05,-1.4
2007-01-05,1.8
2007-01-05,-0.9
2007-01-05,-0.1
2007-01-05,-5.2
2007-01-05,-2.6
2007-01-05,-2.4
2007-01-05,-4.4
2007-01-05,-0.3
2007-01-05,2.5
2007-01-05,4.9
2007-01-05,-0.6
2007-01-05,-0.2
2007-01-05,-6.2
2007-01-05,-12.5
2007-01-05,-2.3
2007-01-05,-7
2007-01-05,-0.2
2007-01-05,0.1
2007-01-05,-6
2007-01-05,3.3
2007-01-05,-2.6
2007-01-05,7.6
2007-01-05,2.6
2007-01-05,-1.3
2007-01-05,0.2
2007-01-05,-4.5
2007-01-05,1
2007-01-05,-6.9
2007-01-05,0.6
2007-01-05,0.2
2007-01-05,4.8
2007-01-05,2.7
2007-01-05,2.6
2007-01-05,-0.6
2007-01-05,-1.8
2007-01-05,-2.5
2007-01-05,4.7
2007-01-05,-17.3
2007-01-05,0.7
2007-01-05,-1.3
2007-01-05,3.2
2007-01-05,-1.3
2007-01-05,5.6
2007-01-05,2.1
2007-01-05,-2.2
2007-01-05,2.2
2007-01-05,1
2007-01-05,-0.4
2007-01-05,4.5
2007-01-05,-18.4
2007-01-05,6.2
2007-01-05,-2.5
2007-01-05,-0.5
2007-01-05,3.7
2007-01-05,-1.1
2007-01-05,1.7
2007-01-05,2.2
2007-01-05,-1.6
2007-01-05,-2.1
2007-01-05,-1.7
2007-01-05,-5.2
2007-01-05,1.3
2007-01-05,-2.6
2007-01-05,-8.3
2007-01-05,0.3
2007-01-05,7.2
2007-01-05,-8.8
2007-01-05,0.9
2007-01-05,4.8
2007-01-05,-13.9
2007-01-05,1.8
2007-01-05,1.3
2007-01-05,-6.3
2007-01-05,3.3
2007-01-05,0.1
2007-01-05,-1.6
2007-01-05,-7.9
2007-01-05,-3.1
2007-01-05,-5.9
2007-01-05,5.1
2007-01-05,-1.8
2007-01-05,-2
2007-01-05,2
2007-01-05,2.3
2007-01-05,4.6
2007-01-05,-4.9
2007-01-05,1.9
2007-01-05,0.5
2007-01-05,-7.8
2007-01-05,5.8
2007-01-05,-3.6
2007-01-05,-9
2007-01-05,-0.3
2007-01-05,-0.5
2007-01-05,0.2
2007-01-05,-1.5
2007-01-05,4.2
2007-01-05,-4
2007-01-05,5.8
2007-01-05,0.9
2007-01-05,-2.1
2007-01-05,-3.3
2007-01-05,0.6
2007-01-05,-4
2007-01-05,1.8
2007-01-05,-1.7
2007-01-05,1
2007-01-05,1.3
2007-01-05,-0.8
2007-01-05,5.6
2007-01-05,-11.8
2007-01-05,-3.1
2007-01-05,-3.6
2007-01-05,1.7
2007-01-05,3.5
2007-01-05,-18.2
2007-01-05,2.2
